Tới: Phòng Điều hành TTĐ  ,,,,Từ: Phòng 
Trung tâm Điều độ HTĐ Quốc gia
Tel: 04 39276162 - Fax: 04 39276164,,,,Tel:          - Fax:  
Email: kehoachvanhanh_ttd@nldc.evn.vn,,,,Email:  

BÁO CÁO VẬN HÀNH NGÀY

Đơn vị công bố:,Nhà máy điện gió Hòa Đông


Chu kỳ,T1 (MW)
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,1.4245876193251041
86,1.4245876193251041
87,1.4245876193251041
88,1.4245876193251041
89,1.4245876193251041
90,1.4245876193251041
91,1.4245876193251041
92,1.4245876193251041
93,1.4245876193251041
94,1.4245876193251041
95,1.4245876193251041
96,1.4245876193251041
A ngày (MWh),17.09505143190125
